threshold,window,ctrlset,restriction,outcome,fespec,b,se,p,N,households,clusters,meandv,treated_hh,treated_counties,control_hh,control_counties
completed_t,w14_16_c2018,never_only,full,asinh_rentin,hh_year,-.1119049081190099,.081964761,.17482965,1840,920,116,.2689813951255404,112,15,808,101
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,any_abandon,hh_provyear,-.1144233299275205,.095251814,.23245516,2124,1062,102,.134180790960452,184,13,878,89
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,any_abandon,hh_year,.0122065960186188,.06656374,.85486591,2124,1062,102,.134180790960452,184,13,878,89
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,hh_provyear,.0844101131675362,.087977692,.33962378,2114,1057,102,.1385998107852413,182,13,875,89
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,hh_year,.048043956043954,.035205457,.17538834,2114,1057,102,.1385998107852413,182,13,875,89
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_abandon,hh_provyear,-.0594193998296565,.11411897,.60372972,2122,1061,102,.219929569092893,183,13,878,89
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_abandon,hh_year,.0394529863173818,.099082075,.69133437,2122,1061,102,.219929569092893,183,13,878,89
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_land_total,hh_provyear,.0159606749098991,.23973814,.94705129,2030,1015,102,1.966224211378784,177,13,838,89
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_land_total,hh_year,.1972171218750056,.22978774,.3927823,2030,1015,102,1.966224211378784,177,13,838,89
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,hh_provyear,.2209129477492199,.12926212,.090516381,2114,1057,102,.2709367881386218,182,13,875,89
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,hh_year,.1639270906096803,.068681128,.01885795,2114,1057,102,.2709367881386218,182,13,875,89
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,any_abandon,hh_provyear,-.1062966961276356,.08256942,.20096985,2058,1029,100,.13022351797862,197,14,832,86
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,any_abandon,hh_year,.0089625634517769,.062656969,.88654792,2058,1029,100,.13022351797862,197,14,832,86
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,hh_provyear,.08985681329259,.07543084,.23640454,2048,1024,100,.138671875,195,14,829,86
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,hh_year,.0500695926510156,.033894144,.14278702,2048,1024,100,.138671875,195,14,829,86
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_abandon,hh_provyear,-.0878671819980368,.10532791,.40616262,2056,1028,100,.2160548397157991,196,14,832,86
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_abandon,hh_year,.0397694721373198,.094370589,.67436337,2056,1028,100,.2160548397157991,196,14,832,86
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_land_total,hh_provyear,-.0421095376436943,.21472651,.84492779,1964,982,100,1.991994970705581,188,14,794,86
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_land_total,hh_year,.1722590398366095,.2179334,.43117157,1964,982,100,1.991994970705581,188,14,794,86
